Time,Quality,Accuracy,Width,Height,Class_Counter,Total_Counter
2023-09-04-10.071266 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,1 ,1 
2023-09-04-10.125377 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,2 ,2 
2023-09-04-10.179359 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,3 ,3 
2023-09-04-10.237122 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,4 ,4 
2023-09-04-10.296235 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,5 ,5 
2023-09-04-10.351832 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,6 ,6 
2023-09-04-10.408324 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,7 ,7 
2023-09-04-10.463428 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,8 ,8 
2023-09-04-10.518060 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,9 ,9 
2023-09-04-10.573448 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,10 ,10 
2023-09-04-10.630143 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,11 ,11 
2023-09-04-10.685449 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,12 ,12 
2023-09-04-10.740513 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,13 ,13 
2023-09-04-14.395553 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,14 ,14 
2023-09-04-14.450786 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,15 ,15 
2023-09-04-14.506234 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,16 ,16 
2023-09-04-14.561129 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,17 ,17 
2023-09-04-14.614992 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,18 ,18 
2023-09-04-14.671153 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,19 ,19 
2023-09-04-14.725973 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,20 ,20 
2023-09-04-14.781916 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,21 ,21 
2023-09-04-14.836328 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,22 ,22 
2023-09-04-14.896260 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,23 ,23 
2023-09-04-14.952250 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,24 ,24 
2023-09-04-15.006976 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,25 ,25 
2023-09-04-15.062354 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,26 ,26 
2023-09-04-15.116878 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,27 ,27 
2023-09-04-15.172248 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,28 ,28 
2023-09-04-15.228028 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,29 ,29 
2023-09-04-16.399185 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,30 ,30 
2023-09-04-16.454979 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,31 ,31 
2023-09-04-16.511304 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,32 ,32 
2023-09-04-16.566342 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,33 ,33 
2023-09-04-16.622561 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,34 ,34 
2023-09-04-16.678150 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,35 ,35 
2023-09-04-16.732395 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,36 ,36 
2023-09-04-16.789368 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,37 ,37 
2023-09-04-16.845551 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,38 ,38 
2023-09-04-16.901189 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,39 ,39 
2023-09-04-16.960082 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,40 ,40 
2023-09-04-17.016180 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,41 ,41 
2023-09-04-17.076923 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,42 ,42 
2023-09-04-17.136210 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,43 ,43 
2023-09-04-17.193102 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,44 ,44 
2023-09-04-17.248215 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,45 ,45 
2023-09-04-17.304753 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,46 ,46 
2023-09-04-17.361877 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,47 ,47 
2023-09-04-17.418228 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,48 ,48 
2023-09-04-17.478427 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,49 ,49 
2023-09-04-17.534517 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,50 ,50 
2023-09-04-17.598210 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,51 ,51 
2023-09-04-17.657976 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,52 ,52 
2023-09-04-17.717126 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,53 ,53 
2023-09-04-17.773938 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,54 ,54 
2023-09-04-17.831503 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,55 ,55 
2023-09-04-17.889640 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,56 ,56 
2023-09-04-17.948185 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,57 ,57 
2023-09-04-18.013551 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,58 ,58 
2023-09-04-18.070497 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,59 ,59 
2023-09-04-18.128228 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,60 ,60 
2023-09-04-18.184890 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,61 ,61 
2023-09-04-18.242480 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,62 ,62 
